City,Latitude,Max_Temp (F),Humidity,Cloudiness,Windspeed (mph)
Arman,59.7,-8.3,61,0,8.19
Hamilton,43.26,39.99,51,75,12.75
Punta Arenas,-53.16,51.8,93,40,20.8
Arraial do Cabo,-22.97,91.4,74,20,20.8
Kilindoni,-7.91,83.42,100,88,9.98
Qaanaaq,77.48,-26.75,78,0,6.85
Butaritari,3.07,81.71,100,64,16.46
Saint-Joseph,43.56,60.8,50,80,4.7
Saint-Philippe,45.36,32,35,1,16.11
Thompson,55.74,35.6,64,20,3.36
Masuguru,-11.38,85.31,59,8,13.67
Cape Town,-33.93,72,94,75,13.87
Siteki,-26.45,86,83,56,3.15
Eenhana,-17.48,98.6,14,0,5.77
Hami,42.84,42.83,52,92,7.56
Port Alfred,-33.59,73.99,92,12,1.99
Maykor,59.01,24.2,84,64,2.86
Ushuaia,-54.81,41,65,90,19.46
Kenai,60.55,37.99,80,75,8.05
Mount Gambier,-37.83,53.6,100,90,4.7
Gizo,31.8,61,77,0,5.82
Yellowknife,62.45,33.01,74,90,17.22
Bambous Virieux,-20.34,82.4,78,40,8.05
Ponta do Sol,-20.63,76.22,94,24,5.77
Praia,-20.25,89.6,48,40,8.05
Bluff,-23.58,66.14,95,0,3.09
Bireun,5.2,84.68,100,0,4.76
Tiksi,71.64,-24.5,36,24,3.6
Porto Torres,40.84,53.6,62,40,11.41
Bopfingen,48.86,41,93,75,14.99
Sangmelima,2.93,78.92,61,76,3.27
Tuatapere,-46.13,55.99,95,88,6.06
Nanortalik,60.14,31.04,100,80,5.84
Saharanpur,29.96,61.01,75,12,3.76
Antofagasta,-23.65,69.8,60,0,13.87
Kodiak,39.95,52,14,1,3.36
Baruun-Urt,46.68,35.81,36,76,11.21
Saint George,39.45,59,82,0,5.82
Lazaro Cardenas,28.39,60.01,43,90,5.82
Aklavik,68.22,37.4,55,40,13.87
Yeppoon,-23.13,73.4,94,0,4.7
Kamina,-8.74,75.68,82,24,2.82
Kavieng,-2.57,84.23,99,0,9.98
Huarmey,-10.07,78.11,63,20,3.42
Atuona,-9.8,80.45,100,12,17.52
Rawson,-43.3,62.99,40,0,20.15
Bom Jesus da Lapa,-13.25,95.12,44,0,4.05
Narsaq,60.91,30.2,86,75,4.7
Jamestown,-33.21,53.45,86,44,2.26
Upernavik,72.79,-12.53,100,24,3.04
Syke,52.91,43,80,20,11.41
Ribeira Grande,38.52,66.2,68,40,4.7
Mataura,-46.19,55.99,95,88,3.31
Namibe,-15.19,77.75,100,0,8.34
Rikitea,-23.12,77.84,100,92,20.09
Lavrentiya,65.58,4.67,93,44,8.63
Kargasok,59.06,23.21,85,76,3.87
Itoman,26.12,73.4,93,90,16.11
Srednekolymsk,67.46,-19.46,56,44,3.09
Arenapolis,-14.45,88.55,82,32,4.05
Komsomolskiy,67.55,21.86,88,80,9.69
Pangkalanbuun,-2.68,74.78,92,80,3.53
Salalah,17.01,82.4,69,0,2.24
Port Elizabeth,39.31,48,33,1,6.93
Hovd,63.83,39,59,90,19.46
Mahon,51.89,50,76,75,11.41
Labuhan,-2.54,72.17,95,76,1.81
Castro,-42.48,53.6,62,75,12.75
Panaba,21.28,89.63,45,32,4.27
Hobart,-42.88,57,93,40,2.24
Nikolskoye,59.7,37.99,86,75,4.47
Mar del Plata,-46.43,61.55,43,76,18.92
Busselton,-33.64,75,39,48,5.28
Kruisfontein,-34,69.47,94,92,6.29
Norman Wells,65.28,33.8,69,75,3.36
Kapaa,22.08,66.2,72,90,5.82
Asosa,10.07,77.3,29,12,5.84
Charagua,-19.79,80.6,69,75,5.66
Biak,-0.91,77.03,95,20,2.26
Seymchan,62.93,-17.57,48,44,7.29
Kaeo,-35.1,61,94,64,5.39
Naze,5.43,86,70,75,10.29
Shypyntsi,48.39,57.2,50,0,11.18
Guerrero Negro,27.97,69.29,46,0,5.32
Ulladulla,-35.36,68,100,75,6.93
Hithadhoo,-0.6,84.59,100,88,6.78
Totness,33.74,64.99,27,1,8.9
Tuktoyaktuk,69.44,26.6,79,75,5.82
Laguna,27.52,71.6,30,5,4.7
Vaini,15.34,70.01,81,0,2.93
Albany,42.65,42.01,27,40,10.29
Codrington,-28.95,68,93,12,5.82
Miandrivazo,-19.53,75.14,82,32,0.74
Faya,18.39,68,68,0,4.7
Avarua,-21.21,80.6,94,48,8.05
Mandiana,10.62,100.79,16,8,4.61
Geraldton,49.72,23,67,90,5.82
Bubaque,11.28,82.43,83,0,13
Tasiilaq,65.61,24.8,79,92,31.09
Constitucion,23.99,66.99,42,20,6.93
Mariental,52.28,41,75,75,13.87
Cayenne,4.94,82.4,74,75,9.17
Barrow,-38.31,68.75,76,0,16.24
Hilo,19.71,68,68,90,5.82
Mahebourg,-20.41,82.4,78,40,8.05
Ojinaga,29.56,61,29,1,9.17
Coihaique,-45.58,53.6,60,40,25.28
Kahului,20.89,66,72,40,4.7
Ilulissat,69.22,-0.41,44,20,4.7
Hermanus,-34.42,71.01,85,24,1.99
Kisiwani,-4.13,75.86,60,8,4.83
Bloemfontein,-29.12,77,44,0,3.36
Winslow,51.94,48.99,81,20,4.7
College,64.86,44.01,69,90,3.36
Puerto Ayora,-0.74,86,58,0,8.05
Canico,32.63,64,87,75,14.99
Boueni,-12.9,80.6,88,0,3.36
Puerto Escondido,15.86,86,66,40,10.29
Leh,34.16,2.15,74,80,0.58
Honningsvag,70.98,30.2,63,40,16.11
Leningradskiy,69.38,1.52,88,76,27.81
Sitka,37.17,52,48,0,8.99
Zaysan,47.47,5.75,73,0,3.83
Port Hedland,-20.31,84.2,83,0,5.82
Opuwo,-18.06,85.04,24,68,4.54
Douentza,15.01,94.22,23,20,3.31
East London,-33.02,75.2,88,0,10.29
Ewa Beach,21.32,70,63,1,4.7
Gorodishche,53.27,37.99,68,68,2.64
Victoria,5.28,82.4,83,75,3.36
Eureka,40.8,57,100,1,2.42
Krosno Odrzanskie,52.05,44.01,71,64,8.01
Nuuk,64.17,14,72,40,25.28
Abapo,-18.83,72.53,84,76,1.52
Sturgeon Bay,44.83,42.01,40,1,10.29
Smolenka,54.15,40.49,78,68,17.25
Dikson,73.51,20.96,92,80,21.77
Lumeje,-11.56,74.87,77,8,3.31
Brae,60.4,42.8,60,0,8.05
Rujewa,-8.7,64.16,87,12,3.38
Medowie,-32.73,66.99,93,90,5.82
Alofi,-19.06,77,94,75,3.36
Kisangani,0.52,81.53,77,48,3.65
Cutervo,-6.38,59.84,91,44,2.42
Novobirilyussy,56.95,21.05,87,88,6.17
Ostrovnoy,68.05,29.96,92,88,13.94
Babstovo,48.12,27.8,65,0,6.17
Grimstad,66.94,32,100,20,6.93
Bangarmau,26.89,69.8,52,40,2.24
Dunedin,-45.87,59,90,56,5.01
Alghero,40.56,53.6,62,40,11.41
Isla Vista,34.41,73,63,1,3.36
Anori,-3.74,87.47,75,68,4.09
Sao Filipe,14.9,75.41,81,8,12.1
Kastrakion,39.72,59,66,75,2.3
Necochea,-38.55,72,50,0,8.01
Mao,19.55,91,35,20,19.46
Thomasville,35.88,59,30,1,4.7
Eyl,7.98,77.21,100,64,10.13
Nhamunda,-2.19,89.9,61,48,3.87
Syracuse,43.05,37.99,64,90,9.17
Vila Real de Santo Antonio,37.2,64.99,67,0,5.82
San Vicente,13.64,95,26,0,12.75
Sayyan,15.17,62.99,32,12,4.65
Karema,-6.82,70.55,94,0,1.25
Villa Union,-10.79,89.6,66,75,6.93
Yumen,40.29,39.77,41,12,14.83
Lloydminster,53.28,33.8,69,5,10.29
Luanda,-8.83,84.2,70,75,5.82
Vostok,46.45,26.81,79,36,2.53
Grindavik,63.84,46,100,75,28.86
Avera,33.19,66.99,23,1,10.29
New Norfolk,-42.78,57,93,40,2.24
Lorengau,-2.02,83.6,96,80,14.12
Inongo,-1.93,77.57,92,0,2.15
Tura,25.52,60.2,93,32,2.08
Thohoyandou,-22.97,78.83,54,0,5.77
Beroroha,-21.68,82.25,56,100,4.94
Jackson,35.61,55.99,37,1,12.75
George,6.63,87.8,74,40,6.93
Haines Junction,60.75,34.1,95,88,3.53
Vila,45.18,57.2,15,0,18.34
San Patricio,-26.98,78.47,84,32,3.38
Zyryanka,65.73,-14.69,44,76,5.17
Xichang,27.88,58.04,28,20,3.76
Los Llanos de Aridane,28.66,66.2,63,40,12.75
La Ronge,55.1,37.4,64,5,11.41
Linares,-35.85,69.02,32,0,7.29
Saskylakh,71.97,-24.5,36,32,3.04
Ponta Delgada,37.73,59,93,75,8.05
Nyurba,63.29,0.89,61,32,2.93
Egvekinot,66.32,-18.56,50,24,2.37
Lagoa,37.14,64.99,67,0,5.82
Talavera,15.58,77,73,40,2.24
Zhigansk,66.77,-15.5,46,0,5.55
Kaduna,10.52,88.1,17,0,11.99
Qasigiannguit,68.82,-0.41,44,20,4.7
Caraballeda,10.61,86,62,20,6.93
Gorokhovets,56.21,35.6,88,90,8.95
Lompoc,34.64,71.01,45,20,4.76
Nome,30.04,68,32,1,5.82
Husavik,50.56,35.01,65,80,7
Port Hardy,50.7,44.6,81,5,3.36
Auki,12.18,89.99,17,0,10.87
Kiunga,-6.12,70.1,93,48,2.08
Aranos,-24.14,81.62,31,0,2.75
Port Said,25.34,66.59,31,20,8.86
Ibotirama,-12.18,96.47,35,0,5.17
Ulverstone,-41.16,57,91,0,1.99
Dingle,11,76.67,87,64,11.59
Katima Mulilo,-17.5,80.9,30,0,5.95
Bredasdorp,-34.53,71.6,78,44,8.05
Sur,22.57,71.09,98,8,6.11
Souillac,45.6,52,62,90,11.41
Lamu,0.57,71.45,100,0,3.53
Sarkand,45.41,24.83,92,56,4.76
Mayor Pablo Lagerenza,-19.93,78.92,99,88,4.83
Chokurdakh,70.62,-23.24,34,36,2.86
Iqaluit,63.75,-18.01,61,40,18.34
Ambon,47.55,48.99,93,90,8.05
Ortona,42.35,55.99,82,75,13.87
Klyuchi,52.25,9.35,77,0,3.65
Plouzane,48.38,48.99,87,92,9.17
Camacha,33.08,62.6,67,75,19.46
Isangel,-19.55,81.71,100,92,14.83
Pisco,-13.71,71.6,30,40,8.05
Esperance,10.24,88,48,20,20.8
Fort Frances,48.61,37.99,64,20,6.93
Severo-Kurilsk,50.68,22.94,100,32,7.29
Vestmannaeyjar,63.44,44.6,100,90,20.8
Bondo,3.81,88.91,30,8,5.06
Faanui,-16.48,82.07,100,44,5.28
Cheney,47.49,46,56,1,8.9
Krasnyy Klyuch,55.39,29.42,82,92,2.75
Sioni,41.99,41,97,0,23.04
Bethel,60.79,12.2,92,75,10.29
Revuca,48.68,36,93,75,1.12
Acapulco,16.86,86,70,20,5.82
Imbituba,-28.24,84.2,70,20,11.41
Katsuura,33.93,54,87,90,5.82
Makat,47.65,42.65,81,92,9.31
Lebu,8.96,59.48,37,0,6.62
Krasnoarmeysk,56.12,37.4,91,0,11.18
Makakilo City,21.35,70,63,1,4.7
Fort Nelson,58.81,41,52,40,6.93
Kamenka,53.19,37.99,68,8,6.33
Zheleznodorozhnyy,55.75,37.4,80,75,11.18
Kharagpur,22.34,69.92,84,68,3.76
Reconquista,-29.14,80.09,89,12,8.12
Letlhakane,-21.42,84.05,31,64,7.67
Macenta,8.55,75.95,86,56,3.6
Vila Velha,-3.71,81,85,20,1.01
Roscrea,52.95,48,95,92,1.01
Cidreira,-30.17,71.99,100,92,8.97
Carballo,43.21,54,66,20,9.17
Sumbe,-11.2,81.17,100,80,5.66
Pangnirtung,66.15,-22.01,61,20,4.7
Whitehorse,60.72,46.99,52,75,17.22
Talnakh,69.49,4.94,84,88,7.11
Kodinsk,58.6,14.12,83,56,3.15
Chuy,-33.69,77.12,92,100,5.95
Tessalit,20.2,86.12,12,76,6.62
Hasaki,35.73,50,76,75,2.24
Port-Gentil,-0.72,84.2,83,40,6.93
Sungairaya,0.7,76.67,90,76,4.32
Male,50.74,46.97,74,8,17.85
Teguise,29.06,69.8,60,40,18.34
Kpandae,8.46,93.05,45,48,4.16
Raudeberg,61.99,39.2,76,40,14.99
Batangafo,7.3,86.12,26,0,5.39
Kamaishi,39.28,30.14,68,24,3.76
Am Timan,11.04,87.2,16,0,7.45
Carutapera,-1.2,82.34,89,76,5.44
Lagunas,-5.23,92.15,53,0,3.09
Pevek,69.7,-4.25,77,64,26.31
Tyachiv,48.01,55.4,58,0,1.12
Honiara,-9.43,73.16,100,12,2.26
Khandyga,62.65,-14.69,43,0,2.53
Kaitangata,-46.28,53.9,87,88,4.32
Nakhon Si Thammarat,8.43,81.35,100,0,4.05
Chake Chake,-5.25,82.52,98,36,12.82
Maralal,1.1,61.64,81,0,3.76
Nishihara,35.74,55,54,75,9.17
Carnarvon,-30.97,68.48,15,0,7.18
Chandler,33.31,77,40,1,3.36
Renqiu,38.71,48.05,48,0,8.3
Teya,21.05,84.2,58,90,5.82
Lata,30.78,41.39,82,76,2.37
Pangai,-19.8,73.4,100,20,3.65
Khatanga,71.98,1.16,71,88,7.11
Mbini,1.58,82.34,97,44,8.08
Thinadhoo,0.53,84.23,100,0,4.05
Georgetown,6.8,89.6,66,20,11.41
Soure,40.06,61,58,0,17.22
Aykhal,65.95,-10.01,65,24,2.75
Pravda,43.16,60.01,54,0,6.93
Tazmalt,36.39,55.99,87,75,8.05
Kijang,35.24,50,76,0,1.12
Urengoy,65.96,7.64,76,76,8.63
Shenjiamen,29.96,50.39,91,0,4.65
Cherskiy,68.75,-11.9,76,36,8.97
Itamaraju,-17.04,96.29,39,0,9.08
Pokhara,28.21,49.49,51,36,4.16
Fowa,8.92,92.15,39,0,4.54
Launceston,-41.43,55.99,87,90,12.75
Pyaozerskiy,65.83,32.57,85,36,6.55
Vila Franca do Campo,37.72,59,93,75,8.05
Sulphur Springs,33.14,70,30,1,3.36
Pacific Grove,36.62,70,51,1,2.53
Florianopolis,-27.6,84.99,70,20,11.41
Pak Phanang,8.35,81.35,100,0,4.05
Balabac,7.99,81.53,100,8,12.33
Betsiamites,48.94,19.4,37,1,10.29
Sept-Iles,50.2,23,48,90,12.75
Manzhouli,49.6,30.05,54,76,6.17
Emba,34.81,60.8,77,20,6.93
Bage,10.95,92.42,15,0,10.47
Aljezur,37.31,64.99,67,0,16.62
Kloulklubed,7.04,75.2,94,90,3.36
San Quintin,17.54,70.82,83,56,3.04
Torbay,47.66,35.01,86,20,24.16
Veshenskaya,49.63,32.12,89,0,7.4
Orotina,9.91,80.6,47,0,14.99
Hastings,-39.64,58.04,100,36,3.87
Hualmay,-11.1,78.29,71,12,5.95
Zabid,14.2,59.84,51,56,2.42
Agadez,16.97,91.4,9,0,20.8
Mae Sai,20.44,73.4,83,0,3.36
Kaka,37.35,43.82,70,92,9.42
Elk Point,53.9,39.2,60,20,5.82
Moultrie,31.18,64.4,66,1,10.29
Pierre,44.37,30.99,92,1,4.7
Svetlaya,46.54,39.41,68,0,9.91
Abu Samrah,35.3,53.27,68,0,8.57
Altea,38.6,59,51,40,10.29
Paamiut,61.99,25.19,100,88,33.35
Fortuna,38.18,59,62,20,8.05
Fuxin,42.02,43.19,65,0,8.19
Fare,-16.7,82.97,100,24,2.04
Rairangpur,22.27,65.51,90,48,3.87
Clyde River,70.47,-14.81,68,75,27.51
Byron Bay,-28.65,68,100,0,4.7
Klaksvik,62.23,42.8,87,75,12.75
Belyy Yar,53.6,14,85,40,4.47
Ramsar,36.92,50,93,90,2.24
Briancon,44.9,30.99,60,0,7
Fairbanks,64.84,43,69,90,3.36
Coquimbo,-29.95,66.2,68,0,16.11
Port Blair,11.67,83.42,100,0,6.62
Te Anau,-45.41,53.36,96,88,2.53
Puerto Quijarro,-19,95,59,40,8.05
Abatskoye,56.29,8.9,72,12,3.38
Luena,-11.78,69.56,89,12,2.26
Port Lincoln,-34.72,60.38,100,44,7.34
Andros Town,24.73,79,69,75,6.93
Tamandare,-8.28,89.72,67,32,3.65
Bereda,43.27,55,66,20,9.17
Igarka,67.47,-0.74,67,80,8.34
Marystown,47.17,34,100,68,1.99
Tiznit,29.7,65.6,77,0,4.76
Qaqortoq,60.72,30.2,86,75,4.7
Hirado,33.32,53.01,89,92,5.99
Porto Velho,-8.75,87.8,84,40,3.36
Hambantota,6.12,81.17,100,48,9.91
Sulgen,47.55,42.8,60,90,10.29
Talaya,55.79,24.8,73,40,8.95
San Cristobal,-0.39,71.6,46,75,8.05
Nouadhibou,20.93,71.6,64,12,20.8
Provideniya,64.42,1.07,100,8,9.91
Sorland,67.67,35.6,68,40,11.41
Rawlins,41.79,34,58,1,4.38
Konongo,6.62,85.67,59,36,2.08
Aksu,52.04,15.8,92,0,8.95
Eisenerz,47.54,42.01,74,88,2.3
Meulaboh,4.14,78.92,100,44,2.15
Bathsheba,13.22,84.2,58,20,17.22
Manicore,-5.81,86.48,81,20,2.86
Sanchez,19.23,84.2,74,20,4.05
Puerto Leguizamo,-0.19,82.88,80,76,3.04
Ahipara,-35.17,61.46,100,32,4.61
Ossora,59.24,1.88,86,64,4.38
Terrace,54.52,37.4,100,75,11.41
Sainte-Luce,44.85,44.01,76,0,3
Barcelos,41.53,62.01,67,0,12.75
Carlsbad,50.23,39.99,69,40,5.82
Breves,-1.68,82.07,86,64,6.55
Sao Joao da Barra,-21.64,93.2,52,40,13.49
Barguzin,53.62,18.35,74,80,2.82
Ancud,-41.87,53.6,62,75,12.75
Basco,40.33,46.99,56,75,4.7
Bonthe,7.53,87.65,61,0,7.45
Okhotsk,59.36,-0.74,100,0,6.06
Alihe,50.57,16.91,74,44,4.61
Yichun,27.8,48.32,93,0,2.53
Togur,58.36,20.87,89,64,5.06
Kuragino,53.89,13.49,73,56,3.09
Turayf,31.68,59,51,0,4.7
Luganville,-15.51,81.71,100,76,5.44
Chinsali,-10.55,66.05,95,48,0.29
Zaragoza,41.65,57.2,35,20,20.8
Gavle,60.67,30.99,84,92,4
Bridlington,54.08,48.99,93,75,3.36
Cadereyta,25.58,51.8,87,90,2.75
Pamanukan,-6.28,82.25,100,64,7.34
Calvia,39.57,55.99,100,40,6.93
Umea,63.83,32,95,75,12.75
Bolshaya Martynovka,47.27,41.21,83,0,6.67
Poum,41.28,53.6,46,0,8.05
Jiexiu,37.02,35.27,70,0,5.77
Homer,59.64,42.8,81,75,8.05
Ukiah,39.15,64.99,49,0,5.99
Camocim,-2.9,80.18,95,80,7.18
Alikalia,9.15,97.19,23,32,7.85
Tezu,27.93,51.74,100,92,1.63
Omsukchan,62.53,-17.12,45,32,6.11
Ust-Maya,60.42,-12.89,39,0,3.76
Port Hawkesbury,45.62,33.01,46,90,10.29
Fomboni,-12.28,84.05,100,56,10.36
Zharkent,44.17,31.4,77,0,4.94
Dawei,14.07,73.52,97,48,2.53
Kant,42.89,42.8,38,0,11.18
Beidao,34.57,44.36,71,0,10.87
El Dorado,6.71,90.62,43,0,5.61
Tricase,39.93,57.99,87,40,11.41
Haflong,25.18,61.19,89,32,1.74
Nova Olimpia,-14.8,91.97,75,0,4.61
Waipawa,-39.94,55,92,68,2.75
Colquiri,-17.42,64.4,36,40,3.36
Sabang,13.72,77.57,92,92,8.9
Victor Harbor,-35.55,66,55,0,3.53
Waterboro,43.54,39,31,1,17.22
Diamantino,-14.4,88.64,74,24,3.15
Banda Aceh,5.56,78.47,90,48,2.59
Trincomalee,8.58,81.35,73,64,5.55
Zhangye,38.94,34.28,60,8,7.07
Praia da Vitoria,38.73,62.6,82,75,13.49
Turukhansk,65.8,-2.54,60,48,4.09
Itupiranga,-5.13,87.8,70,40,4.7
Zhanakorgan,43.91,49.22,55,76,11.65
Wilmington,39.75,48,44,56,5.82
Pedasi,7.53,76.31,90,0,15.23
Metro,-5.11,80.27,88,76,8.34
Yulara,-25.24,80.6,18,0,8.05
Hudson Bay,52.86,37.52,81,68,5.1
Sembakung,3.82,80.6,78,20,4.7
Jambi,-1.6,74.15,95,80,2.93
Muli,22.62,72.71,29,0,5.39
Phan Thiet,10.93,79.91,90,0,17.18
Caravelas,-17.73,83.69,100,0,16.69
Iquitos,-3.75,42.8,319,75,5.82
Xining,36.62,24.56,83,48,2.26
Limbang,4.75,82.4,88,75,1.12
Verkhniy baskunchak,48.23,33.74,80,0,9.64
Safonovo,55.11,42.83,85,76,17.96
Charters Towers,-20.07,73.88,88,92,6.67
Nabire,-3.36,66.95,91,20,1.63
Sosnovo-Ozerskoye,52.53,19.34,71,76,13.38
Lashio,22.93,61.01,83,8,1.59
Chaman,30.92,48.32,90,92,10.2
Naryan-Mar,67.67,28.25,87,92,12.21
Cabo San Lucas,22.89,78.01,27,5,9.17
Airai,-8.93,70.55,85,80,2.15
Umm Kaddadah,13.6,76.22,13,0,10.69
Half Moon Bay,37.46,69.01,72,1,3.36
High Level,58.52,37.4,59,75,6.93
Ortakoy,38.74,46.4,52,0,1.12
Yarmouth,50.71,48.99,81,40,6.93
Tahe,52.34,15.74,64,64,4.05
Birao,10.3,83.69,13,8,9.64
Mlandizi,-6.71,82.4,83,20,11.41
Berlevag,70.86,30.2,68,75,21.92
Touros,-5.2,87.8,66,40,11.41
Sorong,-0.86,81.71,100,12,6.78
Northam,51.04,48.99,87,75,6.93
Sobolevo,54.43,44.54,90,100,9.64
Broken Hill,-31.97,69.8,30,0,5.82
Uige,-7.61,71.9,95,24,2.53
Talcahuano,-36.72,66.2,45,0,18.34
Chicama,-7.84,69.8,88,75,9.17
Araouane,18.9,89.18,11,0,6.55
Sri Aman,1.24,77,94,76,3.42
Tumaco,1.8,77.12,100,76,7.96
Ulaangom,49.98,4.58,70,56,6.85
Beterou,9.2,92.51,28,0,5.66
Geilo,60.53,15.01,83,0,21
Mutsu,41.29,36,54,88,1.99
Verkh-Chebula,56.03,17.27,82,56,6.89
San Miguelito,13.74,91.4,41,40,16.11
Margate,-43.03,57.99,93,40,2.24
La Paz,24.15,75.2,31,5,5.66
Panguna,-6.32,75.32,85,56,1.3
Madhogarh,28.31,62.99,49,0,4.88
Castletown,50.57,48.2,81,40,6.93
Bagdarin,54.44,11.42,54,0,4.32
Kerema,-7.96,70.01,91,48,3.04
Camacupa,-12.02,74.15,60,48,3.15
Zeya,53.74,12.14,52,8,4.09
Kavaratti,10.57,82.34,100,0,5.95
Mogadishu,2.04,82.52,97,8,18.07
Algiers,29.94,63,51,1,9.17
Tazovskiy,67.47,7.64,76,88,9.69
Strezhevoy,60.73,19.4,85,0,2.24
Inhambane,-23.87,78.11,95,0,10.98
Westport,53.8,48.99,100,90,10.29
Swan Hill,-35.34,54.62,87,0,2.75
Jumla,29.28,23.39,80,36,2.3
Comrie,56.09,48.2,81,75,3.36
Post Falls,47.71,46.99,64,1,12.75
Bose,45.46,57.2,27,20,9.17
Oksfjord,70.24,24.01,79,40,8.05
Konakovo,56.71,34.82,88,8,19.93
Hay River,60.82,41,56,90,10.29
Pangody,65.85,9.17,78,68,3.42
Sirajganj,24.46,66.5,83,0,6.33
Wanning,48.64,41,83,40,10.29
San Andres,13.32,79.82,100,0,15.46
Ivdel,60.7,17.45,63,0,2.64
Arlit,18.74,84.23,40,0,2.08
Cocorit,27.57,71.6,30,5,4.7
Rapar,23.57,69.92,32,0,2.3
Jega,12.22,93.32,20,0,8.12
Strizhi,58.46,28.79,87,20,7.78
Tocopilla,-22.09,69.74,89,0,4.83
Sinnamary,5.38,80.45,91,44,9.31
Molochnoye,44.91,39.14,76,0,6.62
Atambua,-9.11,79.37,100,88,9.86
Richards Bay,-28.77,76.85,84,36,3.65
Maceio,-9.67,87.8,62,40,14.99
Tarbagatay,51.48,26.6,68,75,13.42
Palmer,-34.85,68,55,0,4.27
Moranbah,-22,68.57,90,0,2.86
Rio Grande,-32.03,71.6,94,90,6.93
Mareeba,-16.99,78.8,83,75,10.29
Kutum,14.2,68.57,17,0,9.19
Lasa,34.92,60.8,77,20,6.93
Williston,48.15,36,80,1,16.11
Waitara,-39,63.44,97,12,5.39
Beringovskiy,63.05,-5.42,100,68,11.14
Palmas Bellas,9.23,91.4,49,40,16.11
Nemuro,43.32,35.09,87,8,25.41
Yar-Sale,66.83,9.98,75,24,9.35
Teguldet,57.31,24.02,81,92,5.17
Sault Sainte Marie,46.49,32,68,90,9.17
Havoysund,71,28.4,79,40,18.34
Guhagar,17.48,73.52,96,0,6.89
Dwarka,28.58,78.01,60,20,3.31
Luderitz,-26.65,65.15,75,0,7.96
Nara,34.68,50,66,90,8.05
Kirakira,-10.46,83.33,100,68,8.57
Petrivka,48.39,42.83,79,8,8.3
Broome,52.47,50,70,40,4.7
Tevaitoa,-16.78,82.97,100,24,2.04
Llanes,43.42,57,65,56,2.42
Marfino,56.07,37.4,94,0,11.18
Douglas,31.34,66,38,1,12.75
